,GeneName,Group
943,F3,Non-kinase
944,F5,Non-kinase
945,FABP4,Non-kinase
946,FADD,Non-kinase
947,FAF1,Non-kinase
948,FAM168B,Non-kinase
949,FAM83G,Non-kinase
950,FANCA,Non-kinase
951,FANCD2,Non-kinase
952,FANCE,Non-kinase
953,FANCG,Non-kinase
954,FANCI,Non-kinase
955,FANCL,Non-kinase
956,FANCM,Non-kinase
957,FARSA,Non-kinase
958,FASTK,Atypical
959,FBP1,Non-kinase
960,FBXL2,Non-kinase
961,FBXL20,Non-kinase
962,FBXL21P,Non-kinase
963,FBXO22,Non-kinase
964,FBXO25,Non-kinase
965,FBXO31,Non-kinase
966,FBXO4,Non-kinase
967,FBXO43,Non-kinase
968,FBXO5,Non-kinase
969,FBXW5,Non-kinase
970,FBXW7,Non-kinase
971,FCAR,Non-kinase
972,FCER1G,Non-kinase
973,FCGR2A,Non-kinase
974,FCGR2B,Non-kinase
975,FCGR2C,Non-kinase
