"Kinase","Substrate","Group"
"PRKCG","ANXA1","AGC"
"PRKCB","ANXA1","AGC"
"PRKCH","ANXA1","AGC"
"AKT1","NR3C1","AGC"
"SGK1","NR3C1","AGC"
"CDK5","NR3C1","CMGC"
"GSK3B","NR3C1","CMGC"
"PRKAA1","TP53","CAMK"
"SMG1","TP53","ATYPICAL"
"TP53RK","TP53","OTHER"
"DAPK3","TP53","CAMK"
"STK17A","TP53","CAMK"
"MAPK13","TP53","CMGC"
"RPS6KB1","HSPB1","AGC"
"PRKG2","HSPB1","AGC"
"PRKG1","HSPB1","AGC"
"AKT1","HSPB1","AGC"
"AKT2","HSPB1","AGC"
"AKT3","HSPB1","AGC"
"PRKCB","ITGB2","AGC"
"PRKCH","ITGB2","AGC"
"PRKCD","ITGB2","AGC"
"PRKCA","ITGB2","AGC"
"CSNK2A1","HMGN1","CMGC"
"GSK3A","JUN","CMGC"
"GSK3B","JUN","CMGC"
"MAPK3","JUN","CMGC"
"MAPK15","JUN","CMGC"
"CSNK2A1","SSB","CMGC"
"PRKACA","TFAP2A","AGC"
"CSNK2A1","TFAP2A","CMGC"
"CAMK1","KRT18","CAMK"
"MAPK13","KRT8","CMGC"
"MAPK12","KRT8","CMGC"
"PRKCD","KRT8","AGC"
"MAPK11","KRT8","CMGC"
"PRKACA","FYN","AGC"
"CHEK1","RB1","CAMK"
"CDK3","RB1","CMGC"
"CDK5","RB1","CMGC"
"PRKAA1","RB1","CAMK"
"ABL1","RB1","TK"
"EIF2AK2","CDK1","OTHER"
"PHKG2","PYGL","CAMK"
"PHKG1","PYGL","CAMK"
"MAPKAPK5","TH","CAMK"
"CAMK2A","TH","CAMK"
"RPS6KA3","TH","AGC"
"PRKCD","DBI","AGC"
"CDK5","EPRS1","CMGC"
"PRKCG","HSP90AA1","AGC"
"PRKACA","RET","AGC"
"PAK4","FH","STE"
"CDK1","SP1","CMGC"
"PRKAA1","GLI1","CAMK"
"RPS6KB1","GLI1","AGC"
"CSNK2A1","HSP90AB1","CMGC"
"SRC","HSP90AB1","TK"
"CSNK2A1","MME","CMGC"
"PRKCA","PLEK","AGC"
"CSNK2A2","PTPRC","CMGC"
"CSNK2A1","PTPRC","CMGC"
"CSK","PTPRC","TK"
"SRC","KRT19","TK"
"ADRBK1","CLTB","AGC"
"ABL1","PDGFRB","TK"
